Time,Open,High,Low,Close,Volume
2020-01-01 22:00,1.32463,1.32548,1.32457,1.32467,10193
2020-01-01 23:00,1.32469,1.32608,1.32469,1.32497,2886
2020-01-02 00:00,1.32497,1.32620,1.32466,1.32565,4866
2020-01-02 01:00,1.32565,1.32661,1.32532,1.32555,5837
2020-01-02 02:00,1.32554,1.32559,1.32435,1.32481,4303
2020-01-02 03:00,1.32483,1.32492,1.32023,1.32093,5802
2020-01-02 04:00,1.32094,1.32175,1.32026,1.32071,5284
2020-01-02 05:00,1.32069,1.32137,1.32017,1.32130,6050
2020-01-02 06:00,1.32133,1.32238,1.32059,1.32216,5013
2020-01-02 07:00,1.32216,1.32294,1.32094,1.32193,8374
2020-01-02 08:00,1.32195,1.32304,1.32090,1.32219,10098
2020-01-02 09:00,1.32215,1.32269,1.32096,1.32140,6762
2020-01-02 10:00,1.32141,1.32146,1.32049,1.32111,6385
2020-01-02 11:00,1.32110,1.32113,1.31888,1.31996,7739
2020-01-02 12:00,1.31996,1.32125,1.31905,1.31969,7807
2020-01-02 13:00,1.31967,1.31971,1.31711,1.31764,23822
2020-01-02 14:00,1.31764,1.31776,1.31351,1.31472,17422
2020-01-02 15:00,1.31471,1.31942,1.31454,1.31889,54149
2020-01-02 16:00,1.31889,1.31892,1.31231,1.31270,20840
2020-01-02 17:00,1.31270,1.31343,1.31152,1.31339,8599
2020-01-02 18:00,1.31343,1.31434,1.31249,1.31394,7282
2020-01-02 19:00,1.31393,1.31404,1.31278,1.31289,5850
2020-01-02 20:00,1.31289,1.31452,1.31288,1.31385,5798
2020-01-02 21:00,1.31386,1.31419,1.31348,1.31349,2230
2020-01-02 22:00,1.31349,1.31477,1.31308,1.31316,3173
2020-01-02 23:00,1.31335,1.31477,1.31315,1.31467,3205
2020-01-03 00:00,1.31466,1.31566,1.31396,1.31550,4720
2020-01-03 01:00,1.31550,1.31600,1.31342,1.31372,4709
2020-01-03 02:00,1.31374,1.31432,1.31228,1.31273,7455
2020-01-03 03:00,1.31273,1.31379,1.31264,1.31359,6437
2020-01-03 04:00,1.31358,1.31372,1.31241,1.31257,4581
2020-01-03 05:00,1.31256,1.31289,1.31155,1.31207,5626
2020-01-03 06:00,1.31207,1.31236,1.31050,1.31232,5482
2020-01-03 07:00,1.31232,1.31232,1.30825,1.30910,11803
2020-01-03 08:00,1.30910,1.31175,1.30862,1.30974,12752
2020-01-03 09:00,1.30973,1.31007,1.30663,1.30675,13856
2020-01-03 10:00,1.30675,1.30879,1.30675,1.30783,9825
2020-01-03 11:00,1.30783,1.30785,1.30531,1.30586,8579
2020-01-03 12:00,1.30586,1.30821,1.30539,1.30799,8736
2020-01-03 13:00,1.30801,1.31093,1.30718,1.30719,8606
2020-01-03 14:00,1.30720,1.30896,1.30672,1.30692,9150
2020-01-03 15:00,1.30708,1.30940,1.30690,1.30713,10920
2020-01-03 16:00,1.30712,1.30987,1.30692,1.30894,10436
2020-01-03 17:00,1.30894,1.30934,1.30801,1.30879,7282
2020-01-03 18:00,1.30878,1.30896,1.30725,1.30841,7439
2020-01-03 19:00,1.30841,1.30846,1.30744,1.30784,9465
2020-01-03 20:00,1.30790,1.30790,1.30716,1.30732,2227
2020-01-03 21:00,1.30731,1.30804,1.30705,1.30787,2252
2020-01-05 22:00,1.30808,1.30855,1.30652,1.30661,2288
2020-01-05 23:00,1.30666,1.30843,1.30633,1.30768,4168
2020-01-06 00:00,1.30767,1.30877,1.30766,1.30796,4119
2020-01-06 01:00,1.30793,1.30813,1.30751,1.30788,3517
2020-01-06 02:00,1.30788,1.30878,1.30788,1.30869,2297
2020-01-06 03:00,1.30868,1.30899,1.30805,1.30815,2438
2020-01-06 04:00,1.30815,1.30868,1.30807,1.30837,2746
2020-01-06 05:00,1.30838,1.30857,1.30796,1.30808,2365
2020-01-06 06:00,1.30808,1.30830,1.30684,1.30824,5275
2020-01-06 07:00,1.30822,1.30942,1.30698,1.30730,11662
2020-01-06 08:00,1.30729,1.31084,1.30638,1.31053,12442
2020-01-06 09:00,1.31055,1.31482,1.31029,1.31429,15108
2020-01-06 10:00,1.31432,1.31730,1.31374,1.31520,13529
2020-01-06 11:00,1.31526,1.31743,1.31506,1.31564,8565
2020-01-06 12:00,1.31566,1.31566,1.31382,1.31382,7459
2020-01-06 13:00,1.31388,1.31485,1.31343,1.31403,6218
2020-01-06 14:00,1.31403,1.31609,1.31330,1.31363,9321
2020-01-06 15:00,1.31362,1.31622,1.31333,1.31584,9512
2020-01-06 16:00,1.31584,1.31697,1.31517,1.31622,6750
2020-01-06 17:00,1.31620,1.31745,1.31560,1.31589,5559
2020-01-06 18:00,1.31588,1.31676,1.31574,1.31574,3502
2020-01-06 19:00,1.31574,1.31638,1.31553,1.31627,3620
2020-01-06 20:00,1.31626,1.31672,1.31587,1.31661,2858
2020-01-06 21:00,1.31659,1.31685,1.31637,1.31685,1651
2020-01-06 22:00,1.31685,1.31785,1.31643,1.31749,1042
2020-01-06 23:00,1.31749,1.31752,1.31679,1.31711,5007
2020-01-07 00:00,1.31708,1.31767,1.31692,1.31724,4579
2020-01-07 01:00,1.31727,1.31773,1.31697,1.31713,2866
2020-01-07 02:00,1.31714,1.31721,1.31681,1.31693,2646
2020-01-07 03:00,1.31693,1.31755,1.31685,1.31735,2561
2020-01-07 04:00,1.31735,1.31751,1.31691,1.31706,3927
2020-01-07 05:00,1.31704,1.31723,1.31531,1.31538,2543
2020-01-07 06:00,1.31539,1.31624,1.31476,1.31551,6406
2020-01-07 07:00,1.31552,1.31615,1.31408,1.31435,8990
2020-01-07 08:00,1.31437,1.32120,1.31426,1.31879,15630
2020-01-07 09:00,1.31877,1.31970,1.31672,1.31728,11689
2020-01-07 10:00,1.31727,1.31734,1.31452,1.31602,13564
2020-01-07 11:00,1.31602,1.31643,1.31450,1.31467,9306
2020-01-07 12:00,1.31472,1.31478,1.31097,1.31205,12976
2020-01-07 13:00,1.31203,1.31233,1.31020,1.31179,12104
2020-01-07 14:00,1.31179,1.31357,1.31049,1.31055,10781
2020-01-07 15:00,1.31055,1.31244,1.30948,1.31211,12251
2020-01-07 16:00,1.31211,1.31324,1.31060,1.31257,7951
